ref_date,geo,age_group,population,labour_force,employment,full_time_employment,part_time_employment,unemployment,unemployment_rate,participation_rate,employment_rate
Jul 2021,Quebec,25 years and over,6192.8,3936.7,3693.9,3232.3,461.6,242.8,6.2,63.6,59.6
Jul 2021,Quebec,25 to 54 years,3283.7,2925.9,2753.4,2491.9,261.5,172.5,5.9,89.1,83.9
Jul 2021,Quebec,55 years and over,2909.1,1010.8,940.4,740.3,200.1,70.4,7,34.7,32.3
Jul 2022,Quebec,15 years and over,7157.8,4580.1,4389.4,3604.9,784.5,190.7,4.2,64,61.3
Jul 2022,Quebec,15 to 24 years,907.9,612,568.7,276.4,292.3,43.3,7.1,67.4,62.6
Jul 2022,Quebec,25 years and over,6249.9,3968,3820.7,3328.5,492.2,147.4,3.7,63.5,61.1
Jul 2022,Quebec,25 to 54 years,3293.5,2972.9,2869.5,2607.2,262.3,103.4,3.5,90.3,87.1
Jul 2022,Quebec,55 years and over,2956.4,995.1,951.2,721.3,229.9,44,4.4,33.7,32.2
Oct 2019,Quebec,15 years and over,7020.9,4573.5,4339.2,3513.1,826.1,234.3,5.1,65.1,61.8
Oct 2019,Quebec,15 to 24 years,913.7,657.6,601,270.6,330.4,56.6,8.6,72,65.8
Oct 2019,Quebec,25 years and over,6107.3,3915.9,3738.1,3242.5,495.7,177.8,4.5,64.1,61.2
Oct 2019,Quebec,25 to 54 years,3290.3,2931.2,2802.6,2512.3,290.3,128.5,4.4,89.1,85.2
Oct 2019,Quebec,55 years and over,2817,984.8,935.5,730.1,205.3,49.3,5,35,33.2
Oct 2020,Quebec,15 years and over,7069.2,4548,4200.8,3427.6,773.2,347.2,7.6,64.3,59.4
Oct 2020,Quebec,15 to 24 years,909.2,631.2,542.5,231.6,310.9,88.7,14.1,69.4,59.7
Oct 2020,Quebec,25 years and over,6160,3916.8,3658.3,3196,462.3,258.5,6.6,63.6,59.4
Oct 2020,Quebec,25 to 54 years,3285.9,2921.5,2734.9,2468.8,266.1,186.6,6.4,88.9,83.2
Oct 2020,Quebec,55 years and over,2874.1,995.3,923.4,727.2,196.2,71.9,7.2,34.6,32.1
